Thema,Frage,OptionA,OptionB,OptionC,OptionD,OptionE,Korrekt
Brandbekämpfung,"Was gilt es bei Dachstuhlbränden zu beachten?","Wenn das Dach mit einer PV Anlage ausgestattet ist, kann kein Innenangriff durchgeführt werden.","Es muss mit einer erhöhten Einsturzgefahr des Tragwerks (Dachstuhl) gerechnet werden.","Löschmaßnahmen auf eine geschlossene Dachhaut sind in der Regel unwirksam.","","","B;C"
Brandbekämpfung,"Welche Hinweise für den Schaumeinsatz sind richtig?","Keinen Schaum in elektrischen Anlagen verwenden.","Der Hautkontakt mit Schaum ist zu vermeiden.","Ein Schaumstrahlrohr ist nur mit Stützkrümmer zu verwenden.","","","A"
Brandbekämpfung,"Welche der folgenden Punkte sind Eigenschutzmaßnahmen im Brandeinsatz?","Ständige Bereitstellung eines Sicherheitstrupps.","Benutzung von Brandfluchthauben.","Benutzung geeigneter persönlicher Schutzausrüstung.","","","A;C"
Brandbekämpfung,"Beim Einsatz von Mittelschaum ...","...kann zur Verringerung des Schaummittelbedarfs statt dem Mittelschaumstrahlrohr ein Kombinationsschaumstrahlrohr verwendet werden.","...ist der Bedarf an Schaummittelbehältern überschlägig zu ermitteln. Dazu ist die ungefähre einzuschäumende Fläche durch die Verschäumungszahl des Schaumstrahlrohres zu dividieren.","...ist darauf zu achten, dass der Druck am Schaumstrahlrohr mindestens 5 bar beträgt.","","","B;C"
Brandbekämpfung,"Welche der nachfolgenden Maßnahmen nutzen die Löschwirkung Ersticken?","Abkühlen einer Flüssigkeit unter den Flammpunkt.","Abkühlen eines brennbaren Stoffes unter die Zündtemperatur.","Abdecken eines brennbaren Stoffes mit Schaum.","","","A;C"
Brandbekämpfung,"Sind Wärmeleitung, Feuerbrücken und Phänomene der schlagartigen Brandausbreitung Möglichkeiten der Brandausbreitung?","Wahr","Falsch","","","","A"
Brandbekämpfung,"Welche Löschwirkung hat Schaumschwer?","Verdrängen von Luftsauerstoff","Inhibition","Trennen","","","C"
Brandbekämpfung,"Was sind Aufgaben des Wassertrupps in der Brandbekämpfung?","Herstellen der Wasserversorgung zwischen dem Verteiler und den Strahlrohren","Bestimmt den Ort der Pumpe","Herstellung einer Wasserversorgung zwischen Wasserentnahme, Pumpe und Verteiler","Übernahme der Funktion Sicherheitstrupp","","C;D"
Brandbekämpfung,"Der Angriffstrupp setzt immer den Verteiler?","Wahr","Falsch","","","","A"
Brandbekämpfung,"Was gilt es bei Dachstuhlbränden zu beachten?","Wenn das Dach mit einer PV Anlage ausgestattet ist, kann kein Innenangriff durchgeführt werden.","Es muss mit einer erhöhten Einsturzgefahr des Tragwerks (Dachstuhl) gerechnet werden.","Löschmaßnahmen auf eine geschlossene Dachhaut sind in der Regel unwirksam.","","B;C"
Brandbekämpfung,"Welche Hinweise für den Schaumeinsatz sind richtig?","Keinen Schaum in elektrischen Anlagen verwenden.","Der Hautkontakt mit Schaum ist zu vermeiden.","Ein Schaumstrahlrohr ist nur mit Stützkrümmer zu verwenden.","","A"
Brandbekämpfung,"Wo ist das Löschmittel Wasser nur bedingt geeignet?","Bei festen brennbaren Stoffen (Brandklasse A).","Beim Schaumeinsatz.","Bei brennbaren Flüssigkeiten (Brandklasse B).","","C"
Brandbekämpfung,"Während des Atemschutzeinsatzes bricht die DMO Sprechfunkverbindung zu ihrem Angriffstrupp ab. Welche Maßnahmen ergreifen Sie?","Technische Maßnahmen ergreifen um eine bessere Funkverbindung zu ermöglichen (z.B. Repeater Modus)","Zunächst sind keine Maßnahmen erforderlich, da man einige Minuten abwartet, ob die Verbindung wieder zustande kommt.","Der Sicherheitstrupp wird unmittelbar aktiviert. Er geht so lange vor, bis er den Angriffstrupp erreicht hat oder die Sprechfunkverbindung wieder besteht.","","A;C"

Technische Hilfeleistung,"Der Winkel zwischen Zugseil und zu ziehender Last sollte im Idealfall 90° betragen.","Wahr","Falsch","","","","A"
Technische Hilfeleistung,"Welche der folgenden Antworten sind Einsatzgrundsätze bei Maschinenunfällen?","Demontage (systematischer Auseinanderbau der Maschine)","Schützen (Erhalten von Sachwerten)","Schneiden (Einsatz von Säge, Trennschleifer oder Autogenschneidgerät zur Befreiung)","","","A;C"
